t1 t10 t100 t1000 t10000 ws wd th hh adj fireError maxSimulatedTime parallelizationLevel executionTime predictionFile 
 12  13   2  51  98   37   35  35  90  0.2  0.017682    1350      1     33 ../fire-scenarios/jonquera/output/shape_8_129.shp
 12  11  12  35  73   33  135  44  90  0.9  0.004535    1830      1     43 ../fire-scenarios/jonquera/output/shape_8_131.shp
  9  13  12  56  82   33  356  44  94  0.5  0.045118     240      1     60 ../fire-scenarios/jonquera/output/shape_8_128.shp
 12   8   6  51  98   37   33  35  90  1.7  0.028213    1320      1     69 ../fire-scenarios/jonquera/output/shape_8_130.shp
  7  13  12  29  82   33   33  41  90  0.9  0.043034    1350      1     69 ../fire-scenarios/jonquera/output/shape_8_133.shp
 12  13  12  35  82   33   32  44  94  0.9  0.041411    1620      1     61 ../fire-scenarios/jonquera/output/shape_8_136.shp
 11  13  12  70  82   33  356  44  94  0.5  0.047710     240      1     56 ../fire-scenarios/jonquera/output/shape_8_137.shp
 12   8   8  51  98   37  132  35  71  0.2  0.009437    1530      1     83 ../fire-scenarios/jonquera/output/shape_8_134.shp
  9  13  12  70  82   37  356  44  94  0.5  0.049443     240      1     60 ../fire-scenarios/jonquera/output/shape_8_138.shp
 12   8   7  51  98   37   32  35  90  0.9  0.031105    1290      1     60 ../fire-scenarios/jonquera/output/shape_8_141.shp
 12   8  12  35  82   33   33  44  94  0.9  0.046920    1470      1     68 ../fire-scenarios/jonquera/output/shape_8_140.shp
 12   8   6  51  98   33   32  35  90  0.2  0.044204    1290      1     77 ../fire-scenarios/jonquera/output/shape_8_139.shp
  7   8   6  51  98   33   32  35  90  0.2  0.003824     240      1     31 ../fire-scenarios/jonquera/output/shape_9_142.shp
 12  13   8  51  98   37   32  35  90  0.2  0.024464    1380      1     45 ../fire-scenarios/jonquera/output/shape_9_146.shp
  7   8  12  70  82   37  356  42  94  0.5  0.036954     180      1     60 ../fire-scenarios/jonquera/output/shape_9_149.shp
 11  13  12  70  82   33  356  35  94  0.5  0.047710     240      1     60 ../fire-scenarios/jonquera/output/shape_9_150.shp
